director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Alice Wu,Leah Lewis,Daniel Diemer,Alexxis Lemire,Comedy Romance Drama,the half of it,Leah Lewis Daniel Diemer Alexxis Lemire Alice Wu Comedy Romance Drama
Clark Duke,Liam Hemsworth,Clark Duke,Michael Kenneth Williams,Crime Thriller,arkansas,Liam Hemsworth Clark Duke Michael Kenneth Williams Clark Duke Crime Thriller
Rachel Lee Goldenberg,Jessica Rothe,Josh Whitehouse,Mae Whitman,Comedy Romance,valley girl,Jessica Rothe Josh Whitehouse Mae Whitman Rachel Lee Goldenberg Comedy Romance
Josh Trank,Tom Hardy,Linda Cardellini,Jack Lowden,Crime Drama,capone,Tom Hardy Linda Cardellini Jack Lowden Josh Trank Crime Drama
Tyler Spindel,David Spade,Lauren Lapkus,Geoff Pierson,Comedy Romance,the wrong missy,David Spade Lauren Lapkus Geoff Pierson Tyler Spindel Comedy Romance
Tony Cervone,Will Forte,Mark Wahlberg,Jason Isaacs,Adventure Animation Comedy Crime Family Fantasy Mystery Science Fiction,scoob!,Will Forte Mark Wahlberg Jason Isaacs Tony Cervone Adventure Animation Comedy Crime Family Fantasy Mystery Science Fiction
Malik Vitthal,Mary J. Blige,Nat Wolff,David Zayas,Horror Thriller Mystery,body cam,Mary J. Blige Nat Wolff David Zayas Malik Vitthal Horror Thriller Mystery
Michael Showalter,Issa Rae,Kumail Nanjiani,Paul Sparks,Comedy Action Romance,the lovebirds,Issa Rae Kumail Nanjiani Paul Sparks Michael Showalter Comedy Action Romance
Vaughn Stein,Lily Collins,Simon Pegg,Chace Crawford,Thriller,inheritance,Lily Collins Simon Pegg Chace Crawford Vaughn Stein Thriller
Nisha Ganatra,Dakota Johnson,Tracee Ellis Ross,Kelvin Harrison Jr.,Romance Comedy Music Drama,the high note,Dakota Johnson Tracee Ellis Ross Kelvin Harrison Jr. Nisha Ganatra Romance Comedy Music Drama
Josephine Decker,Elisabeth Moss,Michael Stuhlbarg,Odessa Young,Drama Thriller,shirley,Elisabeth Moss Michael Stuhlbarg Odessa Young Josephine Decker Drama Thriller
Olivier Megaton,Édgar Ramírez,Anna Brewster,Michael Pitt,Action Crime Thriller,the last days of american crime,Édgar Ramírez Anna Brewster Michael Pitt Olivier Megaton Action Crime Thriller
"Jonathan Milott, Cary Murnion",Lulu Wilson,Kevin James,Joel McHale,Thriller Crime Horror Action,becky,"Lulu Wilson Kevin James Joel McHale Jonathan Milott, Cary Murnion Thriller Crime Horror Action"
Spike Lee,Delroy Lindo,Jonathan Majors,Clarke Peters,War Drama,da 5 bloods,Delroy Lindo Jonathan Majors Clarke Peters Spike Lee War Drama
Kenneth Branagh,Ferdia Shaw,Lara McDonnell,Josh Gad,Adventure Fantasy Science Fiction Family Action,artemis fowl,Ferdia Shaw Lara McDonnell Josh Gad Kenneth Branagh Adventure Fantasy Science Fiction Family Action
Judd Apatow,Pete Davidson,Marisa Tomei,Bill Burr,Comedy Drama,the king of staten island,Pete Davidson Marisa Tomei Bill Burr Judd Apatow Comedy Drama
Kaare Andrews,Chad Michael Collins,Tom Berenger,Sayaka Akimoto,Action,sniper: assassin's end,Chad Michael Collins Tom Berenger Sayaka Akimoto Kaare Andrews Action
Olivier Assayas,Penélope Cruz,Édgar Ramírez,Gael García Bernal,Drama History Thriller,wasp network,Penélope Cruz Édgar Ramírez Gael García Bernal Olivier Assayas Drama History Thriller
Elissa Down,Elissa Down (director); Sofia Carson,Enrico Colantoni,Wolfgang Novogratz,Comedy Music Drama,feel the beat,Elissa Down (director); Sofia Carson Enrico Colantoni Wolfgang Novogratz Elissa Down Comedy Music Drama
David Dobkin,Will Ferrell,Rachel McAdams,Dan Stevens,Comedy Music,eurovision song contest: the story of fire saga,Will Ferrell Rachel McAdams Dan Stevens David Dobkin Comedy Music
Jon Stewart,Steve Carell,Chris Cooper,Mackenzie Davis,Comedy Drama,irresistible,Steve Carell Chris Cooper Mackenzie Davis Jon Stewart Comedy Drama
Peter Segal,Dave Bautista,Chloe Coleman,Kristen Schaal,Family Action Comedy,my spy,Dave Bautista Chloe Coleman Kristen Schaal Peter Segal Family Action Comedy
Daniel Chong,Eric Edelstein,Bobby Moynihan,Demetri Martin,Animation Adventure Family Comedy TV Movie,we bare bears: the movie,Eric Edelstein Bobby Moynihan Demetri Martin Daniel Chong Animation Adventure Family Comedy TV Movie
Thomas Kail,Thomas Kail (director); Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,History Drama,hamilton,Thomas Kail (director); Lin-Manuel Miranda Phillipa Soo Leslie Odom Jr. Thomas Kail History Drama
Natalie Erika James,Emily Mortimer,Robyn Nevin,Bella Heathcote,Horror Drama Mystery Thriller,relic,Emily Mortimer Robyn Nevin Bella Heathcote Natalie Erika James Horror Drama Mystery Thriller
LP,Anna Camp,Robbie Amell,Nasim Pedrad,Comedy Romance,desperados,Anna Camp Robbie Amell Nasim Pedrad LP Comedy Romance
Gina Prince-Bythewood,Charlize Theron,KiKi Layne,Marwan Kenzari,Action Fantasy,the old guard,Charlize Theron KiKi Layne Marwan Kenzari Gina Prince-Bythewood Action Fantasy
Andrew Lawrence,Adam Copeland,Kelsey Grammer,Thomas Jane,Action Crime,money plane,Adam Copeland Kelsey Grammer Thomas Jane Andrew Lawrence Action Crime
Aaron Schneider,Tom Hanks,Stephen Graham,Rob Morgan,War Action Drama,greyhound,Tom Hanks Stephen Graham Rob Morgan Aaron Schneider War Action Drama
Max Barbakow,Andy Samberg,Cristin Milioti,Peter Gallagher,Comedy Romance Science Fiction,palm springs,Andy Samberg Cristin Milioti Peter Gallagher Max Barbakow Comedy Romance Science Fiction
Peter Sullivan,Nia Long,Omar Epps,Stephen Bishop,Thriller,fatal affair,Nia Long Omar Epps Stephen Bishop Peter Sullivan Thriller
Robin Pront,Annabelle Wallis,Hero Fiennes-Tiffin,Nikolaj Coster-Waldau,Action Thriller,the silencing,Annabelle Wallis Hero Fiennes-Tiffin Nikolaj Coster-Waldau Robin Pront Action Thriller
The Brothers Riedell,Lucy Hale,Leonidas Gulaptis,Jackie Cruz,Comedy Romance,a nice girl like you,Lucy Hale Leonidas Gulaptis Jackie Cruz The Brothers Riedell Comedy Romance
Eric Bress,Brenton Thwaites,Theo Rossi,Skylar Astin,Horror Thriller War Fantasy,ghosts of war,Brenton Thwaites Theo Rossi Skylar Astin Eric Bress Horror Thriller War Fantasy
"Scott Christian Sava, Tony Bancroft",John Krasinski,Emily Blunt,Ian McKellen,Comedy Animation Adventure,animal crackers,"John Krasinski Emily Blunt Ian McKellen Scott Christian Sava, Tony Bancroft Comedy Animation Adventure"
Vince Marcello,Joey King,Joel Courtney,Jacob Elordi,Comedy Romance,the kissing booth 2,Joey King Joel Courtney Jacob Elordi Vince Marcello Comedy Romance
Dave Franco,Dan Stevens,Alison Brie,Sheila Vand,Horror,the rental,Dan Stevens Alison Brie Sheila Vand Dave Franco Horror
John Pogue,Tania Raymonde,Nathaniel Buzolic,Emerson Brooks,Action Horror Science Fiction,deep blue sea 3,Tania Raymonde Nathaniel Buzolic Emerson Brooks John Pogue Action Horror Science Fiction
Andy Tennant,Katie Holmes,Josh Lucas,Jerry O'Connell,Drama Romance,the secret: dare to dream,Katie Holmes Josh Lucas Jerry O'Connell Andy Tennant Drama Romance
Jessica Swale,Gemma Arterton,Gugu Mbatha-Raw,Penelope Wilton,Drama War Romance,summerland,Gemma Arterton Gugu Mbatha-Raw Penelope Wilton Jessica Swale Drama War Romance
Amy Seimetz,Kate Lyn Sheil,Jane Adams,Kentucker Audley,Drama,she dies tomorrow,Kate Lyn Sheil Jane Adams Kentucker Audley Amy Seimetz Drama
David Ayer,Bobby Soto,Shia LaBeouf,Cinthya Carmona,Action Crime Drama,the tax collector,Bobby Soto Shia LaBeouf Cinthya Carmona David Ayer Action Crime Drama
Ciro Guerra,Mark Rylance,Johnny Depp,Robert Pattinson,Drama History,waiting for the barbarians,Mark Rylance Johnny Depp Robert Pattinson Ciro Guerra Drama History
"Henry Joost, Ariel Schulman",Jamie Foxx,Joseph Gordon-Levitt,Dominique Fishback,Action Crime Science Fiction,project power,"Jamie Foxx Joseph Gordon-Levitt Dominique Fishback Henry Joost, Ariel Schulman Action Crime Science Fiction"
Mark Waters,Adam DeVine,Gillian Jacobs,Jeffrey Tambor,Family Fantasy Comedy,magic camp,Adam DeVine Gillian Jacobs Jeffrey Tambor Mark Waters Family Fantasy Comedy
Eugene Kotlyarenko,Joe Keery,Sasheer Zamata,Mischa Barton,Thriller Horror Comedy,spree,Joe Keery Sasheer Zamata Mischa Barton Eugene Kotlyarenko Thriller Horror Comedy
Thea Sharrock,Sam Rockwell,Angelina Jolie,Danny DeVito,Family Comedy Drama,the one and only ivan,Sam Rockwell Angelina Jolie Danny DeVito Thea Sharrock Family Comedy Drama
Derrick Borte,Russell Crowe,Caren Pistorius,Gabriel Bateman,Action Thriller,unhinged,Russell Crowe Caren Pistorius Gabriel Bateman Derrick Borte Action Thriller
Michael Almereyda,Ethan Hawke,Eve Hewson,Ebon Moss-Bachrach,History Drama,tesla,Ethan Hawke Eve Hewson Ebon Moss-Bachrach Michael Almereyda History Drama
RZA,Shameik Moore,T.I.,Demetrius Shipp Jr.,Action Crime Drama Thriller,cut throat city,Shameik Moore T.I. Demetrius Shipp Jr. RZA Action Crime Drama Thriller
Thor Freudenthal,Charlie Plummer,Andy García,Taylor Russell,Drama Romance,words on bathroom walls,Charlie Plummer Andy García Taylor Russell Thor Freudenthal Drama Romance
Christopher Nolan,John David Washington,Robert Pattinson,Elizabeth Debicki,Action Thriller Science Fiction,tenet,John David Washington Robert Pattinson Elizabeth Debicki Christopher Nolan Action Thriller Science Fiction
Dean Parisot,Keanu Reeves,Alex Winter,Kristen Schaal,Comedy Science Fiction Adventure,bill & ted face the music,Keanu Reeves Alex Winter Kristen Schaal Dean Parisot Comedy Science Fiction Adventure
Josh Boone,Maisie Williams,Anya Taylor-Joy,Charlie Heaton,Horror Science Fiction Mystery Action,the new mutants,Maisie Williams Anya Taylor-Joy Charlie Heaton Josh Boone Horror Science Fiction Mystery Action
Armando Iannucci,Dev Patel,Aneurin Barnard,Peter Capaldi,Comedy,the personal history of david copperfield,Dev Patel Aneurin Barnard Peter Capaldi Armando Iannucci Comedy
Charlie Kaufman,Jesse Plemons,Jessie Buckley,Toni Collette,Drama Mystery Thriller Fantasy,i'm thinking of ending things,Jesse Plemons Jessie Buckley Toni Collette Charlie Kaufman Drama Mystery Thriller Fantasy
Bob Bowen,Vincent Martella,Ashley Tisdale,David Errigo Jr.,Family Animation Science Fiction Comedy TV Movie,phineas and ferb the movie: candace against the universe,Vincent Martella Ashley Tisdale David Errigo Jr. Bob Bowen Family Animation Science Fiction Comedy TV Movie
Brett Haley,Auliʻi Cravalho,Rhenzy Feliz,Judy Reyes,Drama,all together now,Auliʻi Cravalho Rhenzy Feliz Judy Reyes Brett Haley Drama
Brendan Walsh,Genesis Rodriguez,Vincent Piazza,Louis Cancelmi,Thriller,centigrade,Genesis Rodriguez Vincent Piazza Louis Cancelmi Brendan Walsh Thriller
Jeremy Garelick,Skyler Gisondo,Eduardo Franco,Dexter Darden,Comedy,the binge,Skyler Gisondo Eduardo Franco Dexter Darden Jeremy Garelick Comedy
Niki Caro,Liu Yifei,Donnie Yen,Tzi Ma,Animation Family Adventure,mulan,Liu Yifei Donnie Yen Tzi Ma Niki Caro Animation Family Adventure
John Leguizamo,John Leguizamo,Jorge Lendeborg Jr.,Angel Bismark Curiel,Drama,critical thinking,John Leguizamo Jorge Lendeborg Jr. Angel Bismark Curiel John Leguizamo Drama
Julius Berg,Maisie Williams,Sylvester McCoy,Rita Tushingham,Thriller Horror,the owners,Maisie Williams Sylvester McCoy Rita Tushingham Julius Berg Thriller Horror
Sam Macaroni,Pauly Shore,Mike Castle,Aimee Teegarden,Comedy,guest house,Pauly Shore Mike Castle Aimee Teegarden Sam Macaroni Comedy
McG,Judah Lewis,Emily Alyn Lind,Jenna Ortega,Comedy Horror,the babysitter: killer queen,Judah Lewis Emily Alyn Lind Jenna Ortega McG Comedy Horror
Rachel Lee Goldenberg,Haley Lu Richardson,Barbie Ferreira,Alex MacNicoll,Drama Comedy,unpregnant,Haley Lu Richardson Barbie Ferreira Alex MacNicoll Rachel Lee Goldenberg Drama Comedy
Antonio Campos,Tom Holland,Bill Skarsgård,Riley Keough,Crime Drama Thriller,the devil all the time,Tom Holland Bill Skarsgård Riley Keough Antonio Campos Crime Drama Thriller
Natalie Krinsky,Geraldine Viswanathan,Dacre Montgomery,Utkarsh Ambudkar,Comedy Romance,the broken hearts gallery,Geraldine Viswanathan Dacre Montgomery Utkarsh Ambudkar Natalie Krinsky Comedy Romance
Luke Eve,Brenton Thwaites,Lily Sullivan,Joel Jackson,Romance Drama Comedy,i met a girl,Brenton Thwaites Lily Sullivan Joel Jackson Luke Eve Romance Drama Comedy
Jon Stevenson,Wil Wheaton,Brian Landis Folkins,Kathleen Brady,Horror Thriller,rent-a-pal,Wil Wheaton Brian Landis Folkins Kathleen Brady Jon Stevenson Horror Thriller
Sean McNamara,Melissa Rauch,Max Greenfield,George Lopez,Comedy Action,cats & dogs 3: paws unite!,Melissa Rauch Max Greenfield George Lopez Sean McNamara Comedy Action
Yuval Adler,Noomi Rapace,Joel Kinnaman,Chris Messina,Thriller History Drama,the secrets we keep,Noomi Rapace Joel Kinnaman Chris Messina Yuval Adler Thriller History Drama
"Gerard Bush, Christopher Renz (directors/screenplay); Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe",Janelle Monáe,Eric Lange,Jena Malone,Horror,antebellum,"Janelle Monáe Eric Lange Jena Malone Gerard Bush, Christopher Renz (directors/screenplay); Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe Horror"
Sean Durkin,Jude Law,Carrie Coon,Charlie Shotwell,Drama Romance,the nest,Jude Law Carrie Coon Charlie Shotwell Sean Durkin Drama Romance
Roger Michell,Susan Sarandon,Kate Winslet,Mia Wasikowska,Drama,blackbird,Susan Sarandon Kate Winslet Mia Wasikowska Roger Michell Drama
William Olsson,Alexandra Daddario,Takehiro Hira,Carice van Houten,Drama,lost girls & love hotels,Alexandra Daddario Takehiro Hira Carice van Houten William Olsson Drama
Taylor A. Purdee,Taylor A. Purdee,John Donchak,Nathan Purdee,Drama Music,killian & the comeback kids,Taylor A. Purdee John Donchak Nathan Purdee Taylor A. Purdee Drama Music
